question,a,b,c,correct
hazard perception means,nothing,expect anything,anticipation of what is in front of you,2
hazards are used,to warn vehicles ahead,when slowing down,to warn vehicles behind,2
how many passengers are allowed in a learner drive vehicle,0,2,1,2
in which class is a laybye sign,regulatory,danger warning,informative,2
the amber sequence of a robot insists that,give way to traffic from the right,give way to traffic from the right,wait to cross if it safe to do so,2
diverging lanes means,2 lanes become one,1 lane becomes 2,lane is going to broaden,1
if the engine engine of a motor cycle exceed 350 centimetre sqaures what must be fitted to the motor cycle,proper pillion seat,crash bars,foot rest,1
in an emergency ,hoot,stop at once,reduce speed,1
in which class is a valesolex driver,1,3,5,1
is a 10 year old allowed in the luggage compartment of a truck,depends with the behaviour of the childe,no,yes,1
lane changing proceedure,signal and turn,"rear view mirror check, signal, blind spot check, hand signal","check mirrors, signal and turn",1
never should you turn right,when slowing down,in front of oncoming traffic,none of the above,1
road markings with transverse lines,are carriageway markings,have  a regulatory effect,are danger warning,1
switch on lights between,1730 and 0630,1700 and 0600,when it is necessary to do so,1
direction signs are ,informative,regulatory,danger warning,0
direction signs used in conjuction with prohibition lines ,have a regulatory effect,are informative,are danger warning,0
flashing amber with a red rectangular sign ,emphasizes the existence of danger,a train passing ahead,stop ,0
hand brake is used,to keep the vehicle stationery,to keep the vehicle stationery on a steep road,,0
how far behind a broken down motor vehicle do you place a reflective triangle,30-50m,50-80m,10-30m,0
if you see an accident ,slow down and drive cautiosly,do not panick,stop and go report to the police,0
in rural areas give way to traffic,that enters the junction before you,to traffic from the right,to traffic from the left,0
motorcycles travel in the ,left lane,right lane,any lane,0
one way sign is,informative,danger warning,regulatory,0
to dry off brakes after passing through deep waters ,move slowly whilst gently applying brakes,acceralate rapidly ,wait till they are dry,0
to keep a vehicle stationery you use,parking brake,foot brake,neutral gear,0
